# 東雲カイ#a50 の不満9軸の推移（1分1点）
# T+ | 空腹 睡眠 安全 居住 退屈 停滞 不公平 孤独 過密 | pos
T+04:57:23 |   6  69   1  17   6  11   0   0   0 | [797, 64, 168]
T+04:58:23 |   6   1   1   1  38  45   0   0   0 | [777, 63, 185]
T+04:59:22 |   6   1   1   1  62  68   0   0   0 | [831, 63, 155]
T+05:00:23 |   6   1   1   1   4  15   0   0   0 | [807, 68, 173]
T+05:01:23 |   6   1   1   1   0  32   0   0   0 | [826, 67, 182]
T+05:02:24 |   6   1   1   1  37  60   0   0   0 | [846, 67, 172]
T+05:03:23 |   6   1   1   1  44  65   0   0   0 | [846, 67, 172]
T+05:04:24 |   6   1   1   1  53  71   0   0   0 | [838, 67, 163]
T+05:05:23 |   6   1   1   1  69  82   0   0   0 | [757, 64, 131]
T+05:06:23 |   6   1   1   1  75  86   0   0   0 | [854, 66, 203]
T+05:07:24 |   6   1   1   1  81  89   0   0   0 | [813, 62, 143]
T+05:08:23 |   6   1   1   1  88  94   0   0   0 | [821, 63, 148]
T+05:09:23 |   6   1   1   1  91  96   0   0   0 | [823, 65, 169]
T+05:10:24 |   6  69   3  17  10  97   0   0   0 | [811, 70, 164]
T+05:11:24 |   6  69   1  17  11  98   0   0   0 | [805, 68, 170]
T+05:12:23 |   6  69   5  17  23  98   0   0   0 | [804, 61, 141]
T+05:13:23 |   6  69   1  17   6   7   0   0   0 | [794, 63, 161]
T+05:14:24 |   6  69   1  17  24  27   0   0   0 | [806, 68, 164]
T+05:15:23 |   6  69   1  17  36  39   0   0   0 | [779, 64, 186]
T+05:16:23 |   6  69   1  17   6  50   0   0   0 | [777, 66, 164]
T+05:17:25 |   6  69  11  17  20  59   0   0   0 | [709, 68, 209]
T+05:18:24 |   6  15   1   4  32  66   0   0   0 | [777, 63, 210]
T+05:19:23 |   6   1   1   1  43  72   0   0   0 | [751, 64, 194]
T+05:20:23 |   6   1   1   1  59  81   0   0   0 | [713, 65, 206]
T+05:21:22 |   9   1   1   1  70  86   0   0   0 | [717, 64, 187]
T+05:22:23 |   9   1   1   1  77  90   0   0   0 | [719, 64, 191]
T+05:23:23 |  13   1   1   1  83  93   0   0   0 | [742, 63, 180]
T+05:24:23 |  13   1   1   1   0  95   0   0   0 | [741, 53, 156]
T+05:25:23 |  13   1   1   1   8  95   0   0   0 | [745, 56, 158]
T+05:26:24 |  13   1   1   1   8  95   0   0   0 | [745, 56, 158]
T+05:27:23 |  13   1   1   1  15  96   0   0   0 | [744, 53, 156]
T+05:28:23 |  13   1   1   1  15  96   0   0   0 | [744, 53, 156]
T+05:29:24 |  13   1   1   1  32  97   0   0   0 | [809, 68, 174]
T+05:30:23 |  18  67   7  17   6  97   0   0   0 | [824, 64, 164]
T+05:31:25 |  18  69   1  17  18  98   0   0   0 | [786, 63, 146]
T+05:32:23 |   7  69   1  17  48  99   0   0   0 | [791, 64, 163]
T+05:33:24 |   1  69   1  17  62  99   0   0   0 | [775, 64, 131]
T+05:34:23 |   1  69   1  17  78  99   0   0   0 | [818, 63, 149]
T+05:35:25 |   1  69  25  17  83 100   0   0   0 | [802, 62, 98]
T+05:36:24 |   1  69  31  17   4 100   0   0   0 | [745, 62, 51]
T+05:37:23 |   1  69  31  17  15 100   0   0   0 | [1012, 62, -216]
T+05:38:23 |   1  25   6   6  24 100   0   0   0 | [1279, 62, -483]
T+05:39:24 |   1   1   1   1  33 100   0   0   0 | [1546, 62, -750]
T+05:40:23 |   1   1   1   1  10 100   0   0   0 | [1622, 62, -818]
T+05:41:23 |   1   1   1   1  21 100   0   0   0 | [1622, 62, -813]
T+05:42:24 |   1   1   1   1  30 100   0   0   0 | [1622, 62, -435]
T+05:43:23 |   4   1   5  43   4 100   0   0   0 | [1576, 62, -175]
T+05:44:23 |   4   1   1   2  15 100   0   0   0 | [1226, 62, -319]
T+05:45:24 |   4   1   1   1  24 100   0   0   0 | [877, 62, -464]
T+05:46:24 |   4   1   1   1  33 100   0   0   0 | [528, 62, -609]
T+05:47:23 |   4   1   1   1  41 100   0   0   0 | [179, 62, -753]
T+05:48:24 |   4   1   1   1  47 100   0   0   0 | [-171, 62, -898]
T+05:49:23 |   4   1   1   1  53 100   0   0   0 | [-520, 62, -1042]
T+05:50:23 |   4  61  21  16  10 100   0   0   0 | [-618, 62, -1043]
T+05:51:24 |   4  69  31  17  20 100   0   0   0 | [-618, 62, -665]
T+05:52:23 |   4  69  31  17  29 100   0   0   0 | [-618, 62, -287]
T+05:53:23 |   4  69  31  17  37 100   0   0   0 | [-618, 62, 91]
T+05:54:23 |   4  69  31  17  44 100   0   0   0 | [-618, 62, 469]
T+05:55:23 |   4  69  31  17  50 100   0   0   0 | [-618, 62, 847]
T+05:56:23 |   4  69  33  17   2 100   0   0   0 | [-736, 62, 859]
T+05:57:23 |   4  69  31  17  13 100   0   0   0 | [-786, 62, 922]
T+05:58:24 |   4  25  10   6  29 100   0   0   0 | [-779, 62, 917]
T+05:59:23 |   4   1   1   1  38 100   0   0   0 | [-1041, 62, 919]
T+06:00:23 |   4   1   1   1  45 100   0   0   0 | [-1419, 62, 919]
T+06:01:23 |   4   1   1   1  51 100   0   0   0 | [-1797, 62, 919]
T+06:02:24 |   4   1   1   1   0 100   0   0   0 | [-2111, 63, 926]
T+06:03:23 |   4   1   1   1  15 100   0   0   0 | [-2075, 62, 897]
